driver,lat,lon,occupied,timestamp
egteir,37.79883,-122.40814,0,1211925622
egteir,37.80028,-122.41053,0,1211925562
egteir,37.7998,-122.41413,0,1211925506
egteir,37.79908,-122.42001,0,1211925442
egteir,37.79718,-122.42207,0,1211925391
egteir,37.7962,-122.4218,0,1211925322
egteir,37.79622,-122.42178,0,1211925260
egteir,37.79623,-122.42178,0,1211925205
egteir,37.79623,-122.42177,1,1211925198
egteir,37.79726,-122.41136,1,1211925157
egteir,37.79781,-122.41036,1,1211925083
egteir,37.80028,-122.41057,1,1211925022
egteir,37.8005,-122.40896,1,1211924966
egteir,37.80098,-122.40509,1,1211924905
egteir,37.80097,-122.40509,0,1211924896
egteir,37.80097,-122.40509,0,1211924823
egteir,37.80101,-122.40468,0,1211924765
egteir,37.80094,-122.40447,0,1211924724
egteir,37.801,-122.40454,0,1211924678
egteir,37.801,-122.40454,1,1211924676
egteir,37.80086,-122.40592,1,1211924640
egteir,37.79865,-122.40723,1,1211924581
egteir,37.79183,-122.40493,1,1211924463
egteir,37.79001,-122.40575,1,1211924408
egteir,37.78915,-122.40539,1,1211924343
egteir,37.79237,-122.40178,0,1211924285
